Course,Fall 2024,Spring 2025,Fall 2025,Spring 2026,Fall 2026,Spring 2027,Fall 2027,Spring 2028
CMPSC 100,Y,Y,Y,Y,Y,Y,Y,Y
CMPSC 101,Y,Y,Y,Y,Y,Y,Y,Y
CMPSC 102,N,Y,N,Y,N,Y,N,Y
CMPSC 104,Y,N,Y,N,Y,N,Y,N
CMPSC 105,N,Y,N,Y,N,Y,N,Y
CMPSC 200,Y,N,Y,N,Y,N,Y,N
CMPSC 201,N,N,Y,N,N,Y,N,N
CMPSC 202,N,Y,N,N,Y,N,N,Y
CMPSC 203,Y,N,Y,N,Y,N,Y,N
CMPSC 204,N,N,Y,N,Y,N,Y,N
CMPSC 300,N,N,Y,N,N,N,Y,N
CMPSC 301,Y,N,Y,N,Y,N,Y,N
CMPSC 302,N,Y,N,Y,N,Y,N,Y
CMPSC 303,Y,N,N,N,Y,N,N,N
CMPSC 304,N,N,N,Y,N,N,N,Y
CMPSC 305,N,N,Y,N,N,N,Y,N
CMPSC 350,Y,N,N,Y,N,N,Y,N
CMPSC 400,N,Y,N,N,N,Y,N,N
CMPSC 403,Y,N,N,N,Y,N,N,N
CMPSC 404,N,Y,N,Y,N,Y,N,Y
CMPSC 405,N,Y,N,Y,N,Y,N,Y
CMPSC 406,N,N,Y,N,N,Y,N,N
CMPSC 580,N,Y,N,Y,N,Y,N,Y
CMPSC 600,Y,Y,Y,Y,Y,Y,Y,Y
CMPSC 610,Y,Y,Y,Y,Y,Y,Y,Y
DS 600,Y,Y,Y,Y,Y,Y,Y,Y
DS 610,Y,Y,Y,Y,Y,Y,Y,Y
INFM 600,Y,Y,Y,Y,Y,Y,Y,Y
INFM 610,Y,Y,Y,Y,Y,Y,Y,Y
SE 600,Y,Y,Y,Y,Y,Y,Y,Y
SE 610,Y,Y,Y,Y,Y,Y,Y,Y
